step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_total_ues,feat_nb_resources
1,A2C,A2C_Q,SingleObjective_PolicyBased,6,5,5,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 5): -84.4255. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.067309989,-18.08466813,-38.1425209,46.282989501953125,-84.42550659,0.082781,0.082769,0.082016,0.083088,0.083356,0.084451,0.083847,0.083954,0.083709,0.083702,0.083727,0.082599,0.084451,5,2.484875,26,196.625,16,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,0,0,2.798828125,0,0,0,144,278.28570556640625,0,1027.4285888671875,34,7
2,A2C,A2C_Q,SingleObjective_PolicyBased,10,5,5,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 5): -29.5745. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-0.063792708,-18.08527342,14.76649284362793,44.340946197509766,-29.57445335,0.082703,0.082788,0.082416,0.083144,0.083598,0.084547,0.083663,0.083986,0.083643,0.083235,0.083826,0.082451,0.084547,5,2.484878,26,196.625,14,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,5.59765625,0.009042467,0.015777588,0.009085519,144,278.28570556640625,0,1027.2857666015625,33,7
3,A2C,A2C_Q,SingleObjective_PolicyBased,6,5,5,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 5): -81.0619. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.11973426,-21.86699869,-39.58625411,-37.92649078,43.135406494140625,-81.06189728,0.082598,0.0826,0.082365,0.083157,0.083645,0.084644,0.083708,0.083992,0.083564,0.083396,0.083934,0.082395,0.084644,5,2.484872,26,196.625,14,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,8.396484375,0.008554731,0.015007019,0.018171038,143,278.1428527832031,0,1027.2857666015625,32,7
4,A2C,A2C_Q,SingleObjective_PolicyBased,8,5,5,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 5): +13.1548. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.874600593,-18.08631723,57.08435821533203,43.929534912109375,13.154823303222656,0.08262,0.082592,0.0824,0.083117,0.083549,0.084546,0.084031,0.084037,0.083561,0.083311,0.083937,0.082299,0.084546,5,2.484871,26,196.625,14,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,11.1953125,0.7805023193359375,5.41015625,0.018171038,143,278.1428527832031,0,1027.2857666015625,32,7
5,A2C,A2C_Q,SingleObjective_PolicyBased,11,5,5,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 5): -24.6992. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.277221052,-1.866987018,-18.08615092,19.14202880859375,43.84126663208008,-24.69923782,0.0827,0.08257,0.081999,0.083105,0.083294,0.084487,0.084226,0.083923,0.08366,0.083806,0.083822,0.082409,0.084487,5,2.484866,26,196.625,12,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,13.99414063,0.7876815795898438,5.41015625,0.036446709,143,278.1428527832031,0,1027.142822265625,34,7
6,A2C,A2C_Q,SingleObjective_PolicyBased,3,5,5,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 5): -61.6676. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.277221052,-2.473709057,-18.08713165,-16.72851563,44.93907165527344,-61.66758728,0.090915,0.090873,0.09008,0.091294,0.091582,0.092791,0.052114,0.092237,0.074834,0.091953,0.053068,0.088259,0.092791,5,2.468137,26,196.625,12,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,16.79296875,0.7804924845695496,5.41015625,0.054722376,143,278,0,1027.142822265625,34,7
7,A2C,A2C_Q,SingleObjective_PolicyBased,2,5,5,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 5): -50.0996. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227236725,-1.874409378,-18.08694271,-4.823992252,45.275630950927734,-50.09962463,0.090918,0.090986,0.090601,0.091448,0.091922,0.092974,0.052223,0.092346,0.073057,0.091534,0.052009,0.089981,0.092974,5,2.467282,22,192.625,14,90.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,19.59179688,1.5516908168792725,5.41015625,0.063807897,143,277.8571472167969,0,1027.142822265625,33,7
8,A2C,A2C_Q,SingleObjective_PolicyBased,3,5,5,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 5): -60.9582. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-21.90243992,-39.58792347,-15.37063217,45.58757781982422,-60.95820999,0.090915,0.090985,0.090604,0.091447,0.091922,0.092972,0.052233,0.092345,0.073046,0.091526,0.052008,0.089997,0.092972,5,2.467285,20,190.625,18,98.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,22.390625,0.7874412536621094,5.40625,0.072893418,143,277.8571472167969,0,1027,33,7
9,A2C,A2C_Q,SingleObjective_PolicyBased,11,5,5,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 5): -27.7493. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.120383817,-0.067706135,-18.08798667,17.93523406982422,45.68455887,-27.7493248,0.090922,0.090991,0.090611,0.091455,0.09193,0.092981,0.052216,0.092353,0.073019,0.091535,0.051997,0.089991,0.092981,5,2.467263,18,184.5,24,108.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,25.18945313,0.8141375780105591,5.40625,0.072893418,143,277.8571472167969,0,1027,33,7
10,A2C,A2C_Q,SingleObjective_PolicyBased,9,5,5,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 5): +15.7758. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.866673716,-18.08729634,61.82033157348633,46.04448318481445,15.775848388671875,0.090416,0.090436,0.090208,0.090675,0.091384,0.092515,0.053883,0.091577,0.074553,0.091067,0.053705,0.089582,0.092515,5,2.469423,18,184.5,24,108.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,27.98828125,0.009097508,0.0154953,0.072893418,142,277.71429443359375,0,1027,32,7
